FECHA_DESEMBOLSO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,IFI,TIPO_IFI,MONTO_CREDITO,MONTO_CUOTA_INICIAL,PLAZOS,TASA,MONTO_VALOR_VIVIENDA,MONTO_BBP_SOSTENIBLE,GRADO_BONO_SOSTENIBLE,FECHA_CORTE
20220131,LIMA,LIMA,EL AGUSTINO,150111,INTERBANK,BANCO,198209.90,33000.00,240.00,8.20,246600.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,228500.00,36000.00,240.00,8.00,279900.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,219310.95,25850.00,240.00,8.00,258500.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,212560.00,38840.00,240.00,7.85,266800.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,182519.10,48940.00,240.00,8.30,244700.00,15400.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,192509.60,23100.00,300.00,8.00,231000.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,248030.00,29270.00,240.00,7.90,292700.00,15400.00,3,20230525
20220131,LIMA,LIMA,SAN MIGUEL,150136,INTERBANK,BANCO,249455.45,29427.00,240.00,8.50,294270.00,15400.00,3,20230525
20220131,LIMA,LIMA,SAN MIGUEL,150136,INTERBANK,BANCO,187440.35,63000.00,240.00,7.80,262768.00,15400.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,INTERBANK,BANCO,209010.45,55000.00,240.00,7.80,279400.00,15400.00,3,20230525
20220131,LIMA,LIMA,LIMA,150101,INTERBANK,BANCO,199963.95,23929.00,180.00,7.90,239283.00,15400.00,3,20230525
20220131,LIMA,LIMA,PUEBLO LIBRE,150121,INTERBANK,BANCO,220601.80,26221.20,300.00,8.00,262212.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,217700.00,25900.00,240.00,7.80,259000.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,236690.00,28010.00,240.00,8.00,280100.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,INTERBANK,BANCO,158130.00,52370.00,240.00,7.85,225900.00,15400.00,3,20230525
20220131,LIMA,LIMA,SANTIAGO DE SURCO,150140,INTERBANK,BANCO,275493.75,35000.00,240.00,7.60,323100.00,15400.00,3,20230525
20220131,LIMA,LIMA,LIMA,150101,BANBIF,BANCO,250172.90,29508.10,240.00,8.75,295081.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,199340.00,23860.00,288.00,7.49,238600.00,15400.00,2,20230525
20220131,LIMA,LIMA,COMAS,150110,FINANCIERA EFECTIVA S. A,FINANCIERA,189000.00,17000.00,240.00,8.59,221400.00,15400.00,3,20230525
20220131,LIMA,LIMA,SAN MIGUEL,150136,SCOTIABANK,BANCO,271700.00,31900.00,240.00,7.70,319000.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,SCOTIABANK,BANCO,269810.00,31690.00,300.00,7.70,316900.00,15400.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,167100.00,50000.00,240.00,8.00,232500.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,224200.00,59900.00,240.00,7.95,299500.00,15400.00,3,20230525
20220131,LIMA,LIMA,ATE,150103,CREDITO,BANCO,169496.00,46224.00,180.00,7.99,231120.00,15400.00,1,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,169160.00,46140.00,240.00,8.00,230700.00,15400.00,3,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,248131.00,46457.00,240.00,7.81,309988.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,238040.00,63360.00,216.00,8.30,316800.00,15400.00,3,20230525
20220131,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,130111,CREDITO,BANCO,232820.00,27580.00,240.00,9.30,275800.00,15400.00,1,20230525
20220131,LAMBAYEQUE,CHICLAYO,MONSEFU,140108,CREDITO,BANCO,194150.00,25000.00,156.00,8.20,234550.00,15400.00,2,20230525
20220131,LIMA,LIMA,SURQUILLO,150141,CREDITO,BANCO,238850.00,28250.00,240.00,7.20,282500.00,15400.00,3,20230525
20220131,LIMA,LIMA,RIMAC,150128,CREDITO,BANCO,202635.20,38476.80,240.00,7.70,256512.00,15400.00,3,20230525
20220131,CALLAO,CALLAO,BELLAVISTA,070102,CREDITO,BANCO,169829.00,53591.00,240.00,8.00,238820.00,15400.00,3,20230525
20220131,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,239105.00,37739.00,300.00,7.10,292244.00,15400.00,3,20230525
20220131,LIMA,LIMA,LINCE,150116,CREDITO,BANCO,197352.80,23639.20,240.00,8.20,236392.00,15400.00,2,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,241942.40,28593.60,240.00,8.88,285936.00,15400.00,3,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,222509.00,35000.00,180.00,7.20,272909.00,15400.00,3,20230525
20220131,CALLAO,CALLAO,CALLAO,070101,CREDITO,BANCO,166120.00,45380.00,240.00,8.00,226900.00,15400.00,3,20230525
20220131,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,220909,CREDITO,BANCO,183186.37,22065.15,120.00,8.50,220651.52,15400.00,3,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,229439.60,27204.40,240.00,8.20,272044.00,15400.00,3,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,206270.00,24630.00,300.00,7.70,246300.00,15400.00,3,20230525
20220131,LAMBAYEQUE,CHICLAYO,MONSEFU,140108,CREDITO,BANCO,184940.00,22260.00,240.00,8.20,222600.00,15400.00,2,20230525
20220131,LIMA,LIMA,LINCE,150116,CREDITO,BANCO,194600.00,70000.00,180.00,8.20,280000.00,15400.00,2,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,CREDITO,BANCO,221580.00,41820.00,300.00,6.90,278800.00,15400.00,3,20230525
20220131,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,228428.00,60957.00,240.00,7.70,304785.00,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CREDITO,BANCO,241240.00,64160.00,240.00,7.50,320800.00,15400.00,3,20230525
20220131,LIMA,LIMA,LINCE,150116,CREDITO,BANCO,227600.00,27000.00,240.00,7.70,270000.00,15400.00,2,20230525
20220131,PIURA,PIURA,PIURA,200101,CREDITO,BANCO,222629.00,42006.00,240.00,9.50,280035.00,15400.00,1,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,265770.80,31241.20,240.00,7.90,312412.00,15400.00,3,20230525
20220131,AREQUIPA,AREQUIPA,CERRO COLORADO,040104,CREDITO,BANCO,204800.00,27800.00,180.00,7.90,248000.00,15400.00,2,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,232391.00,47589.00,120.00,7.74,295380.00,15400.00,3,20230525
20220131,LIMA,LIMA,JESUS MARIA,150113,CREDITO,BANCO,240405.00,29095.00,240.00,7.90,284900.00,15400.00,2,20230525
20220131,LIMA,LIMA,LIMA,150101,CREDITO,BANCO,198462.60,53466.99,240.00,8.39,267329.59,15400.00,3,20230525
20220131,LIMA,LIMA,COMAS,150110,CONTINENTAL,BANCO,197075.00,70825.00,240.00,7.35,283300.00,15400.00,3,20230525
20220131,LIMA,LIMA,PUEBLO LIBRE,150121,CONTINENTAL,BANCO,244391.10,28865.90,300.00,7.90,288657.00,15400.00,2,20230525
